"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YAL067C",2109.90392461918,-1.55168266505,0.104235691262301,-14.8862893914649,4.04610207793218e-50,4.70480451566552e-49,"Down"
"YAL062W",11958.8603480201,1.28964477038669,0.0446605967236614,28.8765682726184,2.35127306362339e-183,9.7670645550777e-182,"Up"
"YAL054C",2844.27246909058,1.58482703170363,0.072719344834293,21.7937473902577,2.65969965764484e-105,5.69265886046425e-104,"Up"
"YAL044C",14312.1001759638,-1.33724100860445,0.0541853888801238,-24.6789962431178,1.79785734011812e-134,4.95706167926019e-133,"Down"
"YAL039C",7435.77445472862,1.87820846163308,0.0677407327981968,27.7264266867081,3.35361331007725e-169,1.24557143763693e-167,"Up"
"YNCA0001W",40.3646020064168,-1.51815593756037,0.292290687853911,-5.19399351620518,2.05830312024446e-07,5.22982933650847e-07,"Down"
"YAL018C",642.264011888652,1.00509622956996,0.139733224368396,7.19296526730174,6.33990749310832e-13,2.27573484431415e-12,"Up"
"YAL012W",18419.4378288739,-2.80325376508927,0.0690020649512654,-40.6256503637846,0,0,"Down"
"YAR009C",117.959549060085,-1.9353492527847,0.188059909135359,-10.2911314893367,7.72630501795654e-25,4.75476509584577e-24,"Down"
"YNCA0004W",10.2007162459214,-2.7177958548871,0.67826473130932,-4.00698389497664,6.14990547827926e-05,0.000123349756003352,"Down"
"YAR020C",1084.2406755009,1.86451252157564,0.0780833997671327,23.8784751577948,5.12647761483369e-126,1.30518466371209e-124,"Up"
"YBL100W-B",492.931422036092,-1.23738691676857,0.106841536182083,-11.58151558828,5.11339341259167e-31,3.92296063269791e-30,"Down"
"YBL099W",22375.2430769462,1.75084372663511,0.0510642779826808,34.2870553702715,1.22369852394018e-257,7.88411477567173e-256,"Up"
"YBL075C",7862.42909914687,2.50902427442849,0.0535653805334572,46.8404079172244,0,0,"Up"
"YBL064C",15613.4623158621,1.49021614034471,0.0579190745946895,25.7292809108754,5.49890801569804e-146,1.71881708965928e-144,"Up"
"YBL045C",11957.6224344904,1.93377299067484,0.0574956267441025,33.6333926627418,5.45405427802654e-248,3.24876402938298e-246,"Up"
"YBL043W",2104.58854384712,1.0833951518065,0.10088536834281,10.7388729367088,6.68555461082293e-27,4.41732894403199e-26,"Up"
"YBL042C",5584.27066596914,1.19772919126652,0.0675903552527554,17.7204156833855,2.9174855777263e-70,4.43879612958165e-69,"Up"
"YBL030C",7584.32427024066,2.39586339816569,0.0702720149448504,34.0941326365263,9.011337411327e-255,5.57819455050183e-253,"Up"
"YBL015W",7651.54639129061,1.39539766025579,0.0506856494040519,27.5304287636146,7.59172061718331e-167,2.73909279867974e-165,"Up"
"YBL005W-B",417.326188063664,-1.45993270183918,0.128928638941235,-11.3235718132773,1.00300259907969e-29,7.32981297521896e-29,"Down"
"YBR012W-B",270.239757108588,-1.16526812659306,0.117220171064602,-9.94084990671839,2.76458226556594e-23,1.58976069442471e-22,"Down"
"YBR021W",2299.56933030437,1.26169309566832,0.0563332423619442,22.396955026339,4.21415055827168e-111,9.60582910647198e-110,"Up"
"YNCB0009C",28.5572926720504,-1.27645041879143,0.340767674134887,-3.74580840753741,0.000179813789567848,0.000342486958471008,"Down"
"YBR039W",15794.2477219986,2.04316113928783,0.0515820272795945,39.6099425913042,0,0,"Up"
"YBR047W",1735.86475061688,-1.59960356539805,0.0704657869167758,-22.7004286106572,4.43649492473632e-114,1.03365420497362e-112,"Down"
"YBR050C",2530.68545695729,4.22151846181146,0.074960486352431,56.3165831390655,0,0,"Up"
"YBR056W-A",665.886649578019,1.03403887011185,0.101036665350545,10.2342933283108,1.39207742702003e-24,8.46780045684437e-24,"Up"
"YBR072W",97484.2539055151,1.86012793225601,0.0933103164996177,19.9348582454292,2.02879008882796e-88,3.72377343629644e-87,"Up"
"YBR085W",2627.19017084199,-1.16353771281879,0.0920815380040949,-12.6359500290606,1.33768650737451e-36,1.14757508254928e-35,"Down"
"YBR092C",18891.6570927541,-3.24614955048014,0.0780007932306858,-41.6168787012168,0,0,"Down"
"YBR104W",4071.18334845474,-1.43380029802784,0.0532178255062412,-26.9421060403847,7.05842053830108e-160,2.38325493469695e-158,"Down"
"YBR105C",14536.0256592202,1.2969488812515,0.07353224718459,17.6378246403341,1.26227579262752e-69,1.90215020397378e-68,"Up"
"YBR117C",4105.39458226216,1.51961010264892,0.0567709087943759,26.7674084301335,7.74463554037359e-158,2.5736646737852e-156,"Up"
"YBR145W",8917.35515431914,-1.33896031464491,0.0655924672243279,-20.4133244457117,1.27322918271488e-92,2.45096617672614e-91,"Down"
"YBR158W",9655.36938971747,-1.67097216749352,0.0511652365582572,-32.6583492991562,6.09942797063111e-234,3.37822703566358e-232,"Down"
"YBR183W",431.596464252638,1.10960947299331,0.101924815459051,10.8865487565106,1.33607959976035e-27,9.15961627892169e-27,"Up"
"YBR201C-A",9461.24141625209,1.48937085524813,0.0642297178323925,23.1881892916709,5.99112436884247e-119,1.46053896775565e-117,"Up"
"YBR203W",2457.27144140104,1.16464331255026,0.0538825495031351,21.6144804447774,1.31271584415541e-103,2.77206951170478e-102,"Up"
"YBR213W",2060.39235034342,-3.3144387588095,0.0818632789977969,-40.4874908431007,0,0,"Down"
"YBR230C",3735.65165518653,1.85937077823034,0.0922064192089491,20.1653072983652,1.97516095128963e-90,3.66799007248314e-89,"Up"
"YNCB0019C",1890.89435433336,2.67116655236364,0.103725582859095,25.7522443232955,3.04214954141622e-146,9.55628467885673e-145,"Up"
"YBR240C",6992.19965838125,-2.49740897211952,0.0905811139445117,-27.5709677587912,2.48112740586563e-167,9.00335542565264e-166,"Down"
"YBR248C",9481.80579495282,-1.07899108254445,0.0510634354236689,-21.1304052222916,4.17945204372655e-99,8.45803211669532e-98,"Down"
"YBR255C-A",2120.88851532668,1.19697733894635,0.0556139470991332,21.5229704306496,9.48846832823885e-103,1.98378109352649e-101,"Up"
"YBR256C",11509.3537071146,-1.62131514671529,0.0570894359765651,-28.3995649804778,2.04728533385756e-177,7.97935777652879e-176,"Down"
"YBR269C",2735.98333671957,1.0758821858269,0.0727462379254573,14.7895233692958,1.71161552381377e-49,1.97210591557666e-48,"Up"
"YBR294W",5289.18574500128,-1.34739686821257,0.092614210238794,-14.5484895324214,5.97068733779763e-48,6.68420564731458e-47,"Down"
"YBR296C",932.998239283089,1.24231480298982,0.0711438556395552,17.4620111859541,2.78931722577299e-68,4.13421337172081e-67,"Up"
"YBR296C-A",62.0772776812406,1.93193970768937,0.242083217639235,7.98047764950172,1.45768095095999e-15,6.05911621090281e-15,"Up"
"YBR298C",4082.19755612027,1.47055674307286,0.0539621313100776,27.2516430943533,1.58898793618793e-163,5.51256584015966e-162,"Up"
"YBR299W",131.608428350521,1.8970294171299,0.168488176036236,11.2591248938555,2.08822026478782e-29,1.50685974307089e-28,"Up"
"YBR301W",993.544784243655,2.29801027872317,0.227901815221895,10.0833346872895,6.54658219507834e-24,3.87759099246948e-23,"Up"
"YCL058C",267.553669177748,1.31214652252114,0.13599199383405,9.64870420329558,4.9780759864954e-22,2.73080554115829e-21,"Up"
"YCL057C-A",5639.99167773549,1.29242724488694,0.0752716765990733,17.1701668314221,4.44141587246704e-66,6.44668961350733e-65,"Up"
"YCL055W",1558.877953759,-1.28847893570044,0.0579640628036659,-22.2289272590283,1.80393813826751e-109,4.03903028546846e-108,"Down"
"YCL048W-A",2047.85688546336,1.11813730067085,0.102342689557607,10.9254242340531,8.7132275184119e-28,6.0323814200935e-27,"Up"
"YCL040W",48196.5620560497,1.51483176900997,0.0595189131941988,25.4512672983017,6.83509255579725e-143,2.05508449510971e-141,"Up"
"YCL030C",47032.5853705808,-1.26259769004801,0.0560971643190035,-22.5073353595574,3.5178884022303e-112,8.07707177152078e-111,"Down"
"YCL027W",1368.31943344066,-1.38810635502288,0.0611133628554766,-22.7136307047206,3.28545488440935e-114,7.68309708894839e-113,"Down"
"YCL026C-B",790.461812005797,-1.08853310969204,0.0773066846400968,-14.0807113221804,4.99049271317228e-45,5.27805209228974e-44,"Down"
"YCL012C",1067.54733292923,1.07721026779261,0.0788111502883305,13.6682469910874,1.5713519007528e-42,1.5849066935069e-41,"Up"
"YNCC0004C",106.919577073832,-1.63059644186343,0.177530715182756,-9.18486944743531,4.12026805726757e-20,2.10140327250303e-19,"Down"
"YCR020C",5713.88517888157,-3.02377120337291,0.103116419083591,-29.3238577352234,5.1495738521449e-189,2.27373491625475e-187,"Down"
"YCR021C",11029.8394546157,2.90271123123274,0.183801382372123,15.7926517949464,3.49570006915571e-56,4.47704872954343e-55,"Up"
"YCR083W",2128.28917971172,1.42174824770018,0.066397885120263,21.4125532029378,1.02064939465785e-101,2.09914667031586e-100,"Up"
"YCR099C",400.3799103172,-1.33532591247231,0.0983924857152571,-13.5714216666573,5.91632641373886e-42,5.85512303704501e-41,"Down"
"YCR100C",644.558487927063,-1.5404782990571,0.0844968827969848,-18.231184962862,2.91926837290108e-74,4.63122123278829e-73,"Down"
"YCR101C",345.898683813708,-1.36788738186021,0.104153957486598,-13.1333212378053,2.12144060274229e-39,1.97272105533355e-38,"Down"
"YCR102C",629.136715764252,-1.05865056945897,0.107565900039461,-9.84187896973476,7.43098345540058e-23,4.21178003028719e-22,"Down"
"YCR104W",127.082177420641,-1.00432705274618,0.168259498345485,-5.96891743183504,2.3883292963411e-09,7.01717597817484e-09,"Down"
"YDL246C",45.8518651435776,1.74919254267341,0.268138351752974,6.523470183351,6.86990742192279e-11,2.20633751078436e-10,"Up"
"YDL223C",7499.67787599871,2.32669536783897,0.0869448146950513,26.7605995366093,9.29509989451156e-158,3.05673232989302e-156,"Up"
"YDL222C",2406.0122516005,1.95282090140998,0.0649739956979847,30.0554226415007,1.85464798385612e-198,8.54762581756754e-197,"Up"
"YDL218W",841.153263100198,2.12361347279769,0.111621871189803,19.0250660570515,1.05754005921139e-80,1.77587976964381e-79,"Up"
"YDL204W",4196.79473848892,3.05544591394415,0.0615974123465097,49.6034784181528,0,0,"Up"
"YDL198C",6256.52394548169,-1.45452021974651,0.061183055260283,-23.7732524725797,6.31707306722224e-125,1.58277775184291e-123,"Down"
"YDL182W",15772.6811261361,-1.54757497946633,0.0612071432944019,-25.284221680182,4.76374946379362e-141,1.41212742321094e-139,"Down"
"YDL181W",4265.43381834565,2.16481529894467,0.0866598173942393,24.9806122841954,9.93198446697261e-138,2.83758144454593e-136,"Up"
"YDL174C",6029.81164196917,1.7207953534315,0.0718366582390742,23.9542789936671,8.33857398293736e-127,2.14023398895392e-125,"Up"
"YDL170W",7333.0729124043,-1.69712932169865,0.0507467142062435,-33.4431371221637,3.23849086118469e-245,1.89331771273335e-243,"Down"
"YDL130W-A",7004.58258092408,1.78557944287123,0.0706038710413101,25.290106853015,4.10408868557191e-141,1.22232150758024e-139,"Up"
"YDL085C-A",1500.60744295904,-1.03579415627843,0.0903887277522008,-11.4593288570013,2.11144589015037e-30,1.58333365206763e-29,"Down"
"YDL085W",2464.61544738093,1.64861102494876,0.0664619052882527,24.8053530484651,7.84858474694479e-136,2.23225063478421e-134,"Up"
"YDL079C",4382.02586496991,1.30604457157818,0.0655380148229017,19.9280459609191,2.32462423973754e-88,4.25439926078343e-87,"Up"
"YDL066W",12978.4094827022,-1.43389975376044,0.0613467324299045,-23.3736940333184,7.91520203748207e-121,1.95221037752585e-119,"Down"
"YDL059C",2379.85022741111,-3.18033412190153,0.0843600836429275,-37.6995136155032,5.05895318702767e-311,4.25896405638569e-309,"Down"
"YDL054C",3339.2094446693,-1.22394010759694,0.0510029913413225,-23.9974181005598,2.958855255697e-127,7.62539268753912e-126,"Down"
"YDL049C",3084.09783350503,3.18528872518783,0.0680373686136521,46.8167536471816,0,0,"Up"
"YDL048C",5699.90703424631,2.04728840314257,0.0579569102891678,35.3243192731965,2.48631454852589e-273,1.70636848471657e-271,"Up"
"YDL004W",7801.91603652454,1.958475710672,0.0616786216095646,31.7529098342934,2.89475067396668e-221,1.48597201263623e-219,"Up"
"YDR019C",13155.5628993914,-2.43317822826303,0.0592800411616749,-41.0454881707488,0,0,"Down"
"YDR034W-B",308.091420437234,1.50921406022988,0.113288725825354,13.3218380667154,1.72800147164396e-40,1.66320141645731e-39,"Up"
"YDR046C",11208.9652828017,-1.01352781101028,0.0515391044168236,-19.6652196905355,4.28308263214658e-86,7.55401780429428e-85,"Down"
"YDR059C",2365.21215626384,1.05175994957461,0.0553947421167248,18.9866386119895,2.19965975361083e-80,3.67424647732771e-79,"Up"
"YDR070C",10923.0271605332,1.99317148433092,0.0622242070682022,32.0320913394084,3.89894609608627e-225,2.03454096286684e-223,"Up"
"YDR077W",187538.75786836,1.23446699655679,0.0480648854767714,25.6833441775988,1.79429121007131e-145,5.55350720607365e-144,"Up"
"YDR098C-B",62.0314414740803,-1.52960566999651,0.231422642287836,-6.60957655169297,3.85420877238949e-11,1.25699763372248e-10,"Down"
"YDR119W-A",3444.07483279259,3.9861029296866,0.0749606077381537,53.1759686849196,0,0,"Up"
"YDR126W",1894.09042174274,-1.24400955658618,0.0555173349358206,-22.4075877926108,3.31937718668582e-111,7.59367665099068e-110,"Down"
"YDR148C",9571.19331304223,1.55070954217326,0.0549896748730357,28.2000129252201,5.84542580497901e-175,2.23684960803864e-173,"Up"
"YDR150W",5415.62898095437,1.20452532238519,0.0674051280839946,17.8699359622048,2.02226362734225e-71,3.10670864794135e-70,"Up"
"YDR155C",98725.0240891387,1.01040595667597,0.0474724995562825,21.2840268812483,1.59626339519925e-100,3.25122808944776e-99,"Up"
"YDR158W",21079.4916924971,-1.18776810215416,0.0431962940340162,-27.4969908580309,1.9072952274825e-166,6.76554048669915e-165,"Down"
"YDR170W-A",991.028215491425,-1.67874852041622,0.0721265213304781,-23.2750518040976,7.93419590431185e-120,1.94172530774516e-118,"Down"
"YDR171W",9934.05423292981,1.08907768741814,0.0887727627666934,12.2681513279065,1.34284359015432e-34,1.12300853354098e-33,"Up"
"YDR178W",7520.44194538898,1.96179908578421,0.0665562829711441,29.4757909878285,5.88329664100964e-191,2.65336678509535e-189,"Up"
"YDR210C-D",135.561347920473,-1.73356037064574,0.16264421030446,-10.6586048614987,1.58964091985068e-26,1.03580936717618e-25,"Down"
"YDR216W",3240.89163918343,1.43255272183634,0.0655783742471146,21.844895337572,8.69241134226848e-106,1.8731701438595e-104,"Up"
"YDR218C",1316.7248160004,1.21476358852136,0.0722359427096807,16.8166087816358,1.84417435224603e-63,2.58184409314444e-62,"Up"
"YDR247W",2194.09609254431,1.62029989192269,0.0660758663478031,24.5218107832885,8.6469344560169e-133,2.34320790366055e-131,"Up"
"YDR253C",2715.05034853146,-2.98975775021756,0.0962452555903733,-31.063949405903,7.39415941649138e-212,3.64740019966614e-210,"Down"
"YDR261C",2834.01939193054,-1.15857821889529,0.0548486725055052,-21.1231770245488,4.87065969971438e-99,9.82534995015865e-98,"Down"
"YDR261W-B",185.469109510609,-1.04612610055966,0.143324733829238,-7.29899210422431,2.89931331818121e-13,1.06493684066295e-12,"Down"
"YDR261C-D",112.519847822208,-2.19418943622953,0.191336914461253,-11.4676744025465,1.91743137354586e-30,1.43955549257652e-29,"Down"
"YNCD0020W",21.8570934163535,-1.45784185007971,0.388816098298309,-3.74943798999088,0.000177231312914076,0.000337975992068704,"Down"
"YDR277C",8555.50226484286,1.87949755958073,0.0547415615829301,34.3340143253569,2.4397845780481e-258,1.588123693381e-256,"Up"
"YDR298C",8898.57735085368,1.64089521339871,0.0583063282406528,28.142660718166,2.94701687184147e-174,1.12093159812091e-172,"Up"
"YDR309C",3371.04332066947,-1.14735676620316,0.0563518227735279,-20.3605972217486,3.7399723219025e-92,7.17756390288522e-91,"Down"
"YNCD0023C",26.4536491896596,-2.71843666337887,0.426637548466614,-6.37177077626959,1.86858026238745e-10,5.84938808959562e-10,"Down"
"YDR322C-A",3050.31663577418,1.77329443811611,0.079178328581587,22.3962095422218,4.28524400079445e-111,9.73274482770365e-110,"Up"
"YDR342C",2750.07896579912,4.38891610708892,0.261044552856698,16.8129005530264,1.96325464096341e-63,2.74247562014224e-62,"Up"
"YDR343C",8653.79097248271,4.17503275066297,0.085911688374634,48.5967954960559,0,0,"Up"
"YDR344C",89.5492761107373,-1.29921081977667,0.184441650730106,-7.04402077640156,1.86770277224529e-12,6.57339760532708e-12,"Down"
"YDR345C",47662.6620286045,-5.28191399699473,0.0586187412864769,-90.1062336221342,0,0,"Down"
"YDR354W",11672.0766824293,-1.70945427906091,0.0601442015021312,-28.4225949695306,1.06332333430767e-177,4.17007672845879e-176,"Down"
"YDR365W-B",50.8564394699852,-1.78263583119364,0.270401685493102,-6.59254703957501,4.32344132082783e-11,1.40495154398903e-10,"Down"
"YDR377W",7866.68665151607,1.79099843625226,0.0611395669453593,29.293606836517,1.25103864187415e-188,5.44762619640922e-187,"Up"
"YDR399W",12817.1789117339,1.21797515106664,0.0584797180065308,20.8273088958914,2.44836977160841e-96,4.84608361690768e-95,"Up"
"YDR461C-A",2064.54524450282,1.33555768115593,0.0705682398275908,18.925761566661,6.99708737634378e-80,1.16568891013812e-78,"Up"
"YDR502C",20409.0804223782,-3.12903893517595,0.0969552654926375,-32.2730170380851,1.67297949987637e-228,8.95185810357577e-227,"Down"
"YDR513W",3639.6182027805,1.00097933032753,0.0625523145475289,16.0022748569432,1.23190287882387e-57,1.60375974781318e-56,"Up"
"YDR516C",10229.035383231,1.64546073312837,0.0608119080126383,27.0581994037483,3.05866895243226e-161,1.04958890030746e-159,"Up"
"YDR529C",8772.13416567174,2.4626520418648,0.0726761677111894,33.885276555187,1.09771829341471e-251,6.66441663905817e-250,"Up"
"YDR536W",2188.78083902692,1.97806666061451,0.0622998260762855,31.7507573487025,3.0997206846654e-221,1.57835777443365e-219,"Up"
"YDR541C",4695.16996312854,-1.27112744784966,0.0521873672538802,-24.3569950878323,4.88785397174191e-131,1.29129330450119e-129,"Down"
"YEL073C",1828.97941746436,-2.06325184607333,0.084216178682393,-24.4994712222046,1.4964342966533e-132,4.03781459361921e-131,"Down"
"YEL072W",2552.54056990942,-2.70933647935378,0.0922969506922198,-29.3545611099172,2.0897765471889e-189,9.29214726686668e-188,"Down"
"YEL071W",105556.949399428,-1.62389052630356,0.0456230576730938,-35.5936364006846,1.75742321376451e-277,1.26095115587604e-275,"Down"
"YEL070W",17520.7172249397,6.56350721927599,0.108884472265303,60.279552104396,0,0,"Up"
"YEL069C",1576.77061020829,4.26629222787788,0.12143964551528,35.1309674017542,2.2701748248599e-270,1.54127783270596e-268,"Up"
"YEL065W",10219.7648063127,-1.85267518732138,0.083199884856584,-22.2677614339843,7.58993192042081e-110,1.70543879521484e-108,"Down"
"YEL049W",1988.9892491637,1.60714361891876,0.193604994741218,8.30114750431384,1.03110578682508e-16,4.53055110508947e-16,"Up"
"YEL040W",4495.32249419527,-1.06283279780459,0.0682297760130558,-15.5772576125887,1.03918294469103e-54,1.30445350154656e-53,"Down"
"YEL039C",2582.89358596624,1.72049545470254,0.0827137618564576,20.8005949202057,4.2747405734327e-96,8.43459749395439e-95,"Up"
"YEL034W",8090.10223360789,1.48079059857721,0.09970535343544,14.8516659091534,6.78610895139449e-50,7.87637719101191e-49,"Up"
"YEL033W",1103.19523217985,1.51928934809796,0.105235415477059,14.4370537352908,3.02499090464286e-47,3.35084080209035e-46,"Up"
"YEL029C",2913.90753464901,-1.1493245100138,0.0518757407048765,-22.1553368568242,9.26647254065743e-109,2.04575201474514e-107,"Down"
"YEL026W",5839.73230331891,1.03019325621283,0.0774781391275593,13.2965668485755,2.42342832605635e-40,2.3254599469179e-39,"Up"
"YEL024W",3152.72409096368,2.33246869714915,0.0638161850409498,36.5497983881744,1.79634106289812e-292,1.38318261843155e-290,"Up"
"YNCE0007C",176.321482778897,2.14665983096971,0.175462727369475,12.2342782604163,2.03909254328092e-34,1.69852642721315e-33,"Up"
"YEL017C-A",2539.83551606282,-1.50512216808751,0.0637519655111286,-23.6090315964419,3.11295731669829e-123,7.7688586947166e-122,"Down"
"YEL011W",13615.581086574,1.35498336966935,0.0670727490733797,20.2016972375317,9.45897808529111e-91,1.76176954662325e-89,"Up"
"YER024W",11364.2109872792,-1.1592557241104,0.0648266232367233,-17.8824018008345,1.61717857208122e-71,2.49045500100509e-70,"Down"
"YER028C",918.204394439338,-1.63583940755429,0.0719581655134037,-22.7332005462199,2.10423831933869e-114,4.95752266727779e-113,"Down"
"YER037W",3797.33333408708,-1.08362383948269,0.0521932989274387,-20.7617426326929,9.60208624361027e-96,1.88870942498926e-94,"Down"
"YER042W",2384.88385197374,-1.01552943945608,0.0668103091228791,-15.2001907009336,3.52593113262988e-52,4.25673597923997e-51,"Down"
"YER052C",22974.2999789206,-1.90911779405364,0.0504339769105145,-37.8538023571095,1.48251238885374e-313,1.28227167441384e-311,"Down"
"YER053C-A",245.11029478322,2.89567689888824,0.202421153701618,14.3052089464753,2.03027112745714e-46,2.21784288905958e-45,"Up"
"YER054C",3051.29023321534,2.17501667733557,0.0720277237292475,30.196937577973,2.59834190471149e-200,1.2152541323221e-198,"Up"
"YER055C",17075.929013423,-1.6600363585938,0.04676809090143,-35.495063548618,5.85760241926898e-276,4.15560692980498e-274,"Down"
"YER060W-A",1221.8365596522,-2.04892233576633,0.0843816807308564,-24.2816013857507,3.06724555485286e-130,8.00272249311609e-129,"Down"
"YER067W",5928.78711867795,2.02292981919707,0.190671118042703,10.6095240850479,2.69116314136359e-26,1.74635190899997e-25,"Up"
"YER069W",21584.5311716596,-2.08396974646637,0.0474211843571724,-43.9459658107669,0,0,"Down"
"YER073W",14858.4546933521,-1.1004167222841,0.0613219323633347,-17.9449126906844,5.25931765384834e-72,8.11915199667442e-71,"Down"
"YNCE0016C",82.6472444785093,3.64625260706963,0.285381693843694,12.7767571842457,2.21097300517196e-37,1.95519377516187e-36,"Up"
"YER084W",741.370324137877,1.08031214811064,0.0766301310188974,14.0977463270189,3.92092411453002e-45,4.17482543999031e-44,"Up"
"YER085C",463.38977206374,1.60974153672031,0.110040089660798,14.6286825254541,1.84321840574153e-48,2.07452424489341e-47,"Up"
"YER091C",106861.998563784,-3.54492729479748,0.0638970287389984,-55.4787501822272,0,0,"Down"
"YER092W",2932.97071850391,-1.54583583896952,0.0691926734727269,-22.3410335427901,1.47588876110751e-110,3.34005793463542e-109,"Down"
"YER121W",430.67586675703,1.53565389476083,0.102391050886364,14.9979307905056,7.57440526852475e-51,8.95595409465642e-50,"Up"
"YER124C",13933.5844564559,-1.04385368194178,0.0494437240172225,-21.1119551103832,6.17641464518917e-99,1.24197076655173e-97,"Down"
"YER138W-A",93.305441954948,-2.04153829715812,0.23537143738546,-8.67368751211201,4.18347357946603e-18,1.97565087365359e-17,"Down"
"YER145C",37120.13317459,-1.39710469857058,0.167022816765469,-8.36475354461522,6.02407122788e-17,2.6785905445658e-16,"Down"
"YER150W",8579.66206999595,1.53655230007081,0.0621527163634593,24.7222066865958,6.1725562694282e-135,1.71689516674756e-133,"Up"
"YER175C",7150.81147699439,-2.07735752469037,0.0467919231274585,-44.3956432188472,0,0,"Down"
"YER182W",2232.4807850434,1.17546869087847,0.057501912630423,20.4422537809039,7.04113657996001e-93,1.35956380323754e-91,"Up"
"YFL052W",773.253738906993,1.48899596906602,0.081435891212232,18.2842717983586,1.10428443537508e-74,1.75628511963685e-73,"Up"
"YFL051C",266.965902688758,1.68168732739416,0.120989426270363,13.8994569958226,6.38237181496836e-44,6.59546573481345e-43,"Up"
"YFL036W",4156.1410035077,1.0166074454735,0.0470964840177248,21.5856335494364,2.45106487953864e-103,5.15867454980233e-102,"Up"
"YFL028C",4390.56688364037,-1.21530288881852,0.0528141769022219,-23.010921689994,3.62392367293589e-117,8.63451097015744e-116,"Down"
"YFL019C",440.614806827606,-1.05999545005801,0.0976054506851074,-10.860002618888,1.78744081492472e-27,1.21877983859986e-26,"Down"
"YFL014W",42001.328944057,1.5452609318267,0.0822715126555326,18.78245436299,1.05107346106108e-78,1.72824943571346e-77,"Up"
"YFL011W",1062.34308209808,2.27934355458632,0.0782621668796411,29.1244626294556,1.75965944086064e-186,7.45670450308328e-185,"Up"
"YFR014C",6252.94263943333,1.01748403759624,0.044789884081786,22.7168267669174,3.0549574683401e-114,7.17063251118935e-113,"Up"
"YFR017C",2551.68856065553,1.54442629598382,0.0704252111992105,21.9300200835058,1.34368114652787e-106,2.90548039697841e-105,"Up"
"YFR025C",3311.8200903807,-1.09363297739395,0.0524370228182188,-20.8561226136961,1.34113849771812e-96,2.66287687880259e-95,"Down"
"YNCF0011C",17.5632569857881,-3.60264103493417,0.599512313556343,-6.00928613719889,1.86341992777307e-09,5.52896307516878e-09,"Down"
"YFR030W",32027.3173856154,-3.79292196997521,0.0732936635838925,-51.7496572624426,0,0,"Down"
"YFR033C",9240.24419696166,1.83596424406947,0.0622502542716654,29.4932810403821,3.51078386688309e-191,1.59475462845322e-189,"Up"
"YFR035C",60.0374791793979,-1.06571273825984,0.221068619633502,-4.82073276626336,1.43031856146274e-06,3.35726074240734e-06,"Down"
"YFR049W",2804.44454209045,1.44084333837692,0.0723345809380783,19.9191495919544,2.77666450182721e-88,5.06701146373901e-87,"Up"
"YFR053C",215217.517761612,4.73843684434626,0.0723846194670337,65.461929332989,0,0,"Up"
"YFR054C",138.152412393673,-1.00477874881905,0.158672167651542,-6.33241962778017,2.41346015099045e-10,7.51039299820292e-10,"Down"
"YGL261C",68.5288584341092,-1.37831821920587,0.219035430269097,-6.2926724572026,3.12046335750317e-10,9.65340795652866e-10,"Down"
"YGL258W",49533.5744645155,-4.95628145728294,0.26994314912403,-18.3604639471909,2.72271093971271e-75,4.37435034945193e-74,"Down"
"YGL256W",72712.5427298756,1.02250527310479,0.0521869555234088,19.5931198294589,1.77004078716408e-85,3.10445486948722e-84,"Up"
